# tcksift /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/tracks_500k.tck /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/wm_fod.mif /media/andraderenew/Elements/neuroimaging/diffusion-mri_mrtrix3_fsl_single_subject/derivatives/tracks_sift_100k.tck -term_number 100000 -csv /home/andraderenew/github/diffusion-mri_mrtrix3_fsl_single_subject/results/tables/tcksift_iterations.csv -out_mu /home/andraderenew/github/diffusion-mri_mrtrix3_fsl_single_subject/results/tables/tcksift_mu.txt -nthreads 12 -force  (version=3.0.3)
#Iteration,Removed this iteration,Total removed,Remaining,Cost,TD,Mu,Recalculation,
155,675,190321,309679,12173.426593082757,16850187.00047522,0.016610530948997986,Non-linearity,
156,537,190858,309142,12151.514661847752,16811954.357037835,0.016648305528537743,Non-linearity,
157,413,191271,308729,12135.227275779018,16783516.06511908,0.016676514717287958,Non-linearity,
158,496,191767,308233,12116.629597677105,16750975.557321839,0.016708910577178725,Non-linearity,
159,430,192197,307803,12099.85627479239,16721435.271986298,0.016738428736240277,Non-linearity,
160,39,192236,307764,12098.239170578887,16718688.198249154,0.01674117905357601,Non-linearity,
161,166,192402,307598,12092.430082597382,16708629.329443268,0.016751257517849498,Non-linearity,
162,483,192885,307115,12072.645963733343,16673237.531993203,0.016786814926059393,Non-linearity,
163,276,193161,306839,12062.212376013757,16655015.743727021,0.016805180912135478,Non-linearity,
164,148,193309,306691,12056.536016524624,16645181.228730492,0.016815109960154163,Non-linearity,
165,276,193585,306415,12046.986133979555,16628162.225900941,0.01683232030487556,Non-linearity,
166,514,194099,305901,12025.029809392574,16588115.136420541,0.016872956955385182,Non-linearity,
167,229,194328,305672,12017.373754627461,16574712.713173203,0.016886600540915956,Non-linearity,
168,243,194571,305429,12008.25740255038,16558435.227134995,0.016903200624243102,Non-linearity,
169,305,194876,305124,11997.00724083095,16538097.684959702,0.016923987147707986,Non-linearity,
170,168,195044,304956,11990.277752085593,16526143.261177354,0.016936229357596484,Non-linearity,
171,293,195337,304663,11978.350317296296,16504650.756830506,0.016958283867470721,Non-linearity,
172,183,195520,304480,11971.503973015397,16492383.39361506,0.016970897776737069,Non-linearity,
173,292,195812,304188,11960.456734709493,16472340.841755204,0.016991546942636816,Non-linearity,
174,353,196165,303835,11948.206140780541,16450157.58248549,0.017014460272757333,Non-linearity,
175,189,196354,303646,11940.926407641133,16437021.180297188,0.01702805816197997,Non-linearity,
176,368,196722,303278,11926.332206423671,16410056.415852837,0.017056038417845448,Non-linearity,
177,128,196850,303150,11921.992497077608,16402295.652985863,0.017064108499766379,Non-linearity,
178,490,197340,302660,11904.232068195701,16369398.744302087,0.017098401538127504,Non-linearity,
179,118,197458,302542,11899.517396483217,16360930.397562318,0.017107251596736775,Non-linearity,
180,163,197621,302379,11894.399848813018,16351605.814533524,0.017117007090461218,Non-linearity,
181,313,197934,302066,11882.60406900318,16329829.055081181,0.017139833596770359,Non-linearity,
182,332,198266,301734,11869.16237825294,16304922.742296033,0.017166015263705779,Non-linearity,
183,507,198773,301227,11851.387225998444,16271486.926235013,0.01720128922062563,Non-linearity,
184,86,198859,301141,11847.928889186926,16265240.215034299,0.017207895424076709,Non-linearity,
185,387,199246,300754,11834.17175264097,16239664.461833768,0.01723499603859378,Non-linearity,
186,341,199587,300413,11821.685978806336,16216517.391914181,0.017259596860627741,Non-linearity,
187,320,199907,300093,11810.238948395163,16195194.902552418,0.017282320734756051,Non-linearity,
188,457,200364,299636,11793.735873802367,16163848.464880757,0.017315836217836132,Non-linearity,
189,144,200508,299492,11788.469591233385,16154171.875508122,0.017326208661438632,Non-linearity,
190,109,200617,299383,11785.036712242229,16147856.464634709,0.017332984924703986,Non-linearity,
191,256,200873,299127,11776.075370436123,16131048.40700417,0.017351045363317337,Non-linearity,
192,238,201111,298889,11767.65622580247,16115294.313061528,0.017368007510787094,Non-linearity,
193,103,201214,298786,11764.240058134324,16108969.19340878,0.017374826986590708,Non-linearity,
194,102,201316,298684,11760.513129268193,16101977.910695843,0.017382370924871167,Non-linearity,
195,450,201766,298234,11743.261199580067,16068632.752193265,0.017418442314551866,Non-linearity,
196,166,201932,298068,11738.097977087475,16059029.396922879,0.017428858603461297,Non-linearity,
197,240,202172,297828,11729.90031059888,16043445.196274571,0.017445788559977769,Non-linearity,
198,477,202649,297351,11712.570334723565,16009938.443804555,0.01748230036300407,Non-linearity,
199,248,202897,297103,11704.274739165523,15994243.208666615,0.017499455836468471,Non-linearity,
